Thickness,Temp1In,Temp1Out,Temp2In,Temp2Out,Fluid1,Fluid2,Q,Qr,Lmtd,Theta1,Theta2,m1,m2,dP1,dP2,V1In,V2In,A,M,Ae,Me,NP
0.39999998,68,63,57,67.983879,21,2,409.90869,68.318115,1.0108932,4.9461207,10.865519,39.161999,8.8800001,31.118763,0.055656541,0.92338157,0.19325122,272,0,271,-0.002742096,544
0.39999998,41,34,30,40.912361,43,15,552.3819,276.19095,1.0239571,6.8362236,10.657049,41.595001,12.056,65.9319,0.91294992,0.48164794,0.12388089,661.5,1,655.5,1.0220995,441
0.39999998,69,76,80,69.091515,44,33,383.84174,76.768349,1.0346612,6.7655001,10.543051,27.320999,17.476,21.075848,20.430326,0.35841241,0.22975953,336.66,0,335.42001,0.008512352,543
0.39999998,65,71,76,65.055916,39,37,407.14093,50.892616,1.1003125,5.4529963,9.9463425,34.049,18.593,13.825015,7.3779559,0.62642109,0.34300345,260,0,259,0.002274286,520
0.39999998,61,56,50,60.97031,17,9,272.1839,68.045975,1.1246251,4.4459262,9.7546377,26.004,12.7,80.974846,42.663013,0.408757,0.20654419,306.28,12,305.04001,12.239405,494
0.39999998,22,27,32,22.06266,140,35,647.9621,129.59242,1.1273838,4.4350467,8.8145132,31.898001,34.976002,1.0478474,59.904289,0.3627378,0.44771075,334.79999,0,333.56,-0.000150582,540
0.39999998,72,77,83,72.034142,16,9,474.49008,118.62252,1.1541611,4.3321509,9.5011511,45.332001,21.391001,70.969818,41.943588,1.6032915,0.79224801,259,1,258,0.98243916,518
0.39999998,65,60,57,64.683205,36,39,449.89413,224.94705,1.1935371,4.1892285,6.4373403,45.543999,29.716999,45.529896,26.897964,0.53449088,0.34868899,643.5,8,637.5,8.1042347,429
0.39999998,60,53,50,59.660072,21,19,430.35284,47.816986,1.221542,5.7304621,7.9080968,29.368,22.646999,43.959785,12.095069,0.20517144,0.16116543,333.56,10,332.32001,10.000375,538
0.39999998,27,18,15,26.63656,12,140,1129.8635,1129.8635,1.2491081,7.2051411,9.315896,30.709,23.882999,44.570332,27.370291,3.8261371,3.0551105,199,0,198,-0.006152789,398
0.39999998,50,57,63,50.057621,41,20,376.24854,62.708084,1.2791337,5.4724541,10.118082,27.601,13.887,9.6048126,34.294567,0.29859722,0.14552656,316.82001,0,315.58002,-0.000947438,511
0.39999998,68,75,80,68.120651,37,43,350.43124,116.81042,1.3101423,5.3429313,9.0672207,24.982,14.662,30.979206,14.602359,0.54591566,0.32127243,331.69998,0,330.45999,0,535
0.39999998,65,53,50,64.568314,17,9,780.00085,195.00021,1.3247825,9.0580912,10.996758,31.049999,27.327,59.090389,59.969837,0.17570704,0.16031261,739.5,6,727.5,6.1489134,493
0.39999998,74,83,88,74.146027,19,22,248.48834,41.414722,1.3737384,6.5514655,10.08487,13.448,8.5679998,31.120518,63.889343,0.32848552,0.20202066,231,13,230,13.000565,462
0.39999998,76,84,89,76.149872,18,42,400.66165,100.16541,1.3828222,5.7852702,9.2926836,24.327,15.294,58.203072,19.144243,0.90058899,0.56827193,260,0,259,0.00972405,520
0.39999998,69,61,57,68.716866,36,37,266.86755,133.43378,1.4035825,5.6997008,8.3478289,16.818001,11.522,64.283951,37.363468,0.54946142,0.37637711,257.29999,0,256.06,0,415
0.39999998,45,34,30,44.69838,44,44,950.19305,237.54826,1.4307741,7.6881461,10.273026,45.382,34.084,74.657471,57.260513,0.26334319,0.19774942,867,0,858,-0.005267334,578
0.39999998,64,75,80,64.179146,15,37,641.35089,160.33772,1.4481418,7.5959411,10.924934,13.895,20.211,1.0673927,13.963081,0.2012084,0.33214623,327.35999,2,326.12,1.9478188,528
0.39999998,27,20,15,26.820787,2002,2001,1192.3121,596.15601,1.4482839,4.8333063,8.1619272,44.627998,25.863001,18.077541,20.944231,0.42227316,0.23948942,568.32001,0,556.47998,-0.003162497,384
0.39999998,69,62,56,68.895744,20,23,610.08167,76.260208,1.4547808,4.8117213,8.8643894,41.632999,22.599001,33.618378,7.8411913,0.32721466,0.17761691,344.72,0,343.48001,0.000160703,556
0.39999998,28,18,15,27.438885,35,35,819.69031,91.076706,1.4547988,6.8738027,8.5502443,44.269001,35.696999,39.402237,33.678432,0.314096,0.25319487,358.97998,0,357.73999,1.75E-05,579
0.39999998,65,76,80,65.321381,36,2002,599.95001,299.97501,1.4589455,7.5396919,10.061115,27.26,10.405,58.916439,4.0631385,0.89403051,0.28038213,350.29999,0,349.06,0,565
0.39999998,55,66,71,55.184929,43,37,248.1933,62.048325,1.4603419,7.5324826,10.829704,11.457,7.9359999,23.998734,18.678122,0.42040661,0.29200727,243,8,242,7.9666967,486
0.39999998,26,18,15,25.430622,14,140,799.89246,799.89246,1.4626237,5.4696226,7.1314459,23.757999,18.861,37.906734,24.941242,3.0391173,2.4119036,113.5,4,112.5,4.0389652,227
0.39999998,72,60,57,71.428688,36,17,955.89807,238.97452,1.4644482,8.1942129,9.8526449,40.097,31.646999,34.354443,27.882154,0.23619016,0.17908537,741,0,732,-0.009047825,494
0.39999998,59,68,74,59.108456,41,23,721.92657,180.48163,1.4680513,6.1305757,10.143749,40.536999,23.158001,12.430863,14.841951,0.23825845,0.13104747,886.5,0,880.5,0.00168989,591
0.39999998,73,62,57,72.810715,36,37,1081.9008,180.31679,1.4693971,7.4860635,10.760001,49.390999,34.504002,76.623009,41.946434,0.5390656,0.37654623,349.67999,1,348.44,1.0164243,564
0.39999998,70,79,85,70.109566,20,43,625.99786,62.599789,1.4715086,6.1161723,10.119163,33.226002,20.782,91.653046,11.695918,0.47005174,0.30821005,256,10,255,9.936964,512
0.39999998,74,79,84,74.194565,19,37,376.24829,376.24829,1.4802223,3.3778708,6.624299,36.786999,18.923,82.725868,19.530792,0.86012238,0.44878143,835.5,2,829.5,1.9749597,557
0.39999998,29,18,15,28.408926,2002,23,1229.9261,175.70372,1.4829395,7.4176998,9.0421267,29.296,43.816002,0.24293034,33.356289,0.079273857,0.14168449,808.5,0,805.5,0.004084631,539
0.39999998,67,62,57,66.801468,36,19,159.0397,53.013229,1.488254,3.3596418,6.5858841,16.049,8.1450005,4.8034997,5.4600692,0.78564167,0.39326367,273.5,0,272.5,0.000492187,547
